Observation,Self_employed,Employees,Tech_company,IT_role,Health_benefits,Age,Gender,Country_birth,Country_work,Work_remotely
382,0,jun-25,1,1,Yes,33,male,United States of America,United States of America,Always
383,0,More than 1000,1,1,Yes,37,f,United States of America,United States of America,Sometimes
384,0,jun-25,1,1,Yes,29,Male,United States of America,United States of America,Always
385,0,01-may,0,0,Not eligible for coverage / N/A,38,Male,United States of America,United States of America,Sometimes
386,0,01-may,1,1,No,33,m,United States of America,United States of America,Sometimes
387,0,01-may,1,1,I don't know,44,Female,Canada,Canada,Always
388,0,jun-25,0,0,Yes,23,Male,United States of America,United States of America,Sometimes
389,0,More than 1000,0,0,I don't know,30,m,United States of America,United States of America,Never
390,0,26-100,1,1,Yes,28,male,United States of America,United States of America,Sometimes
391,0,26-100,1,1,Yes,39,male,United States of America,United States of America,Never
392,0,jun-25,1,1,No,24,Female,United States of America,United States of America,Never
393,0,More than 1000,0,0,Yes,35,Male,United States of America,United States of America,Sometimes
394,0,jun-25,1,1,No,23,Male,United States of America,United States of America,Never
395,0,More than 1000,0,0,Yes,37,M,United States of America,United States of America,Sometimes
396,0,jun-25,1,1,Yes,35,Male,United States of America,United States of America,Sometimes
397,0,26-100,0,0,Yes,27,Male,United States of America,United States of America,Sometimes
398,0,01-may,1,1,I don't know,27,Female,United States of America,United States of America,Always
399,0,More than 1000,1,1,Yes,27,Female,United States of America,United States of America,Never
400,0,jun-25,1,1,I don't know,42,m,United States of America,United States of America,Sometimes
401,0,jun-25,,0,Yes,32,m,United States of America,United States of America,Never
402,0,jun-25,1,1,I don't know,26,Male,Finland,Finland,Sometimes
403,0,100-500,1,1,I don't know,28,Male,Bulgaria,Bulgaria,Never
404,0,jun-25,1,1,I don't know,28,M,United States of America,United States of America,Sometimes
405,0,100-500,1,1,Yes,32,Male,United States of America,United States of America,Sometimes
406,0,26-100,1,1,Yes,34,Male,United States of America,United States of America,Never
407,0,jun-25,1,1,I don't know,61,f,United States of America,United States of America,Sometimes
408,0,jun-25,0,0,Not eligible for coverage / N/A,51,m,Germany,Germany,Sometimes
409,0,500-1000,1,1,I don't know,34,male,United States of America,United States of America,Always
410,0,jun-25,1,1,No,43,Male,United States of America,United States of America,Always
411,0,100-500,1,1,Yes,43,Female,United States of America,United States of America,Sometimes
412,0,jun-25,1,1,No,44,Male,United States of America,United States of America,Always
413,0,100-500,1,1,I don't know,35,m,United States of America,United States of America,Sometimes
414,0,26-100,1,1,Yes,50,Male,United States of America,United States of America,Always
415,0,100-500,1,1,Yes,29,Male,United States of America,United States of America,Sometimes
416,0,100-500,1,1,Yes,29,Male,United States of America,United States of America,Never
417,0,500-1000,0,0,Yes,36,Male,Canada,Canada,Sometimes
418,0,More than 1000,1,1,I don't know,46,Male,United States of America,United States of America,Always
419,0,More than 1000,1,1,Yes,23,f,United States of America,United States of America,Sometimes
420,0,jun-25,1,1,I don't know,41,Male,United States of America,United States of America,Sometimes
421,0,More than 1000,1,1,Yes,31,male,Canada,Canada,Sometimes
422,0,01-may,1,1,No,55,male,United States of America,United States of America,Sometimes
423,0,26-100,1,1,No,34,M,United States of America,United States of America,Sometimes
424,0,jun-25,1,1,Yes,28,Female,United States of America,United States of America,Always
425,0,jun-25,1,1,Yes,33,m,United States of America,United States of America,Sometimes
426,0,100-500,1,1,Yes,29,Male,United States of America,United States of America,Sometimes
427,0,More than 1000,0,0,Yes,33,Female,United States of America,United States of America,Sometimes
428,0,More than 1000,1,1,Yes,28,male,United States of America,United States of America,Sometimes
429,0,26-100,1,1,Yes,32,Male,United States of America,United States of America,Sometimes
430,0,jun-25,1,1,Yes,36,female,United States of America,United States of America,Never
431,0,More than 1000,0,,I don't know,45,Male,United Kingdom,United Kingdom,Sometimes
432,0,More than 1000,0,,No,23,Male,France,France,Never
433,0,26-100,1,1,I don't know,29,Female,United States of America,United States of America,Sometimes
434,0,26-100,1,1,Not eligible for coverage / N/A,31,Male,Australia,Australia,Sometimes
435,0,jun-25,1,1,No,29,Male,Germany,Germany,Never
436,0,26-100,1,1,I don't know,30,Male,United Kingdom,United Kingdom,Sometimes
437,0,More than 1000,1,1,Yes,55,Male,United Kingdom,United Kingdom,Always
438,0,jun-25,0,,I don't know,38,Female,United States of America,United States of America,Never
439,0,jun-25,1,1,I don't know,20,male,Canada,Canada,Sometimes
440,0,100-500,1,1,No,25,Male,United States of America,United States of America,Sometimes
441,0,26-100,0,0,I don't know,27,male,United States of America,United States of America,Never
442,0,jun-25,0,0,No,24,Male,United States of America,United States of America,Sometimes
443,0,26-100,0,0,I don't know,29,Male,Brazil,Brazil,Never
444,0,26-100,1,1,No,40,Female,United States of America,United States of America,Never
445,0,01-may,1,1,No,30,Male,United States of America,United States of America,Always
446,0,26-100,1,1,Yes,32,Male,Canada,Canada,Sometimes
447,0,jun-25,1,1,Yes,35,F,Canada,Canada,Sometimes
448,0,jun-25,1,1,No,36,Male,United Kingdom,United Kingdom,Never
449,0,26-100,1,1,I don't know,26,male,Sweden,Sweden,Sometimes
450,0,500-1000,0,0,I don't know,31,Female,Netherlands,Netherlands,Never
451,0,26-100,0,0,Not eligible for coverage / N/A,33,Male,South Africa,South Africa,Never
452,0,26-100,1,1,I don't know,46,m,United Kingdom,United Kingdom,Always
453,0,100-500,1,1,No,32,Male,United States of America,United States of America,Sometimes
454,0,100-500,1,1,Yes,34,male,United States of America,United States of America,Sometimes
455,0,100-500,1,1,I don't know,41,male,United States of America,United States of America,Always
456,0,100-500,1,1,I don't know,32,Male,United States of America,United States of America,Always
457,0,More than 1000,0,0,Yes,47,Male,United States of America,United States of America,Sometimes
458,0,100-500,1,1,I don't know,29,male,United States of America,United States of America,Always
459,0,100-500,0,0,Yes,36,male,United States of America,United States of America,Sometimes
460,0,100-500,1,1,No,32,Male,United States of America,United States of America,Sometimes
461,0,100-500,1,1,I don't know,29,Male,United States of America,United States of America,Sometimes
462,0,01-may,1,1,Not eligible for coverage / N/A,22,Male,United Kingdom,United Kingdom,Never
463,0,More than 1000,1,1,Yes,32,female,United States of America,United States of America,Sometimes
464,0,More than 1000,0,0,Yes,19,Female,United States of America,United States of America,Never
465,0,jun-25,1,1,No,30,Male,South Africa,South Africa,Sometimes
466,0,jun-25,1,1,I don't know,32,f,United States of America,United States of America,Always
467,0,More than 1000,1,1,I don't know,22,M,United States of America,United States of America,Sometimes
468,0,100-500,1,1,Yes,323,Male,United States of America,United States of America,Sometimes
469,0,jun-25,1,1,No,33,male,Slovakia,Slovakia,Sometimes
470,0,jun-25,1,1,No,48,f,United Kingdom,United Kingdom,Never
471,0,More than 1000,1,1,No,45,male,Germany,Germany,Never
472,0,26-100,1,1,I don't know,28,Male,United Kingdom,United Kingdom,Sometimes
473,0,100-500,1,1,I don't know,44,male,United States of America,United States of America,Sometimes
474,0,jun-25,1,1,No,31,Male,United States of America,United States of America,Sometimes
475,0,26-100,1,1,Yes,31,f,United States of America,United States of America,Sometimes
476,0,More than 1000,1,1,Yes,29,Male,United States of America,United States of America,Never
477,0,More than 1000,0,0,Yes,26,Male,United States of America,United States of America,Never
478,0,100-500,0,0,Yes,35,f,United States of America,United States of America,Sometimes
479,0,jun-25,1,1,Yes,45,male,United States of America,United States of America,Always
480,0,jun-25,0,0,Yes,22,Female,United States of America,United States of America,Sometimes
481,0,100-500,1,1,Yes,34,Male,United States of America,United States of America,Sometimes
482,0,26-100,1,1,I don't know,35,Male,United Kingdom,United Kingdom,Never
483,0,jun-25,1,1,Not eligible for coverage / N/A,26,Male,Denmark,Denmark,Never
484,0,More than 1000,1,1,Not eligible for coverage / N/A,24,Male,Australia,Australia,Sometimes
485,0,jun-25,1,1,I don't know,24,Male,United States of America,United States of America,Never
486,0,26-100,1,1,Yes,34,male,United States of America,United States of America,Sometimes
487,0,26-100,1,1,No,36,Male,Australia,Australia,Sometimes
488,0,500-1000,0,0,Yes,41,Male,Australia,Australia,Sometimes
489,0,More than 1000,1,1,Not eligible for coverage / N/A,21,Male,United States of America,United States of America,Never
490,0,100-500,1,1,I don't know,33,Male,Bangladesh,Bangladesh,Sometimes
491,0,More than 1000,1,1,I don't know,32,Male,India,India,Always
492,0,More than 1000,0,0,Yes,62,Female,United States of America,United States of America,Never
493,0,26-100,0,0,Yes,37,M,United States of America,United States of America,Sometimes
494,0,26-100,1,1,I don't know,32,male,United States of America,United States of America,Always
495,0,More than 1000,1,1,Yes,31,Male,United States of America,United States of America,Sometimes
496,0,jun-25,1,1,I don't know,28,Male,United States of America,United States of America,Sometimes
497,0,26-100,1,1,Yes,29,Male,Norway,Norway,Never
498,0,26-100,0,0,Yes,33,M,Germany,Germany,Never
499,0,26-100,0,0,I don't know,27,Male,Finland,Finland,Sometimes
500,0,26-100,0,0,Not eligible for coverage / N/A,24,m,Australia,Australia,Sometimes
501,0,01-may,1,1,Yes,42,Male,United States of America,United States of America,Always
502,0,26-100,1,1,No,28,m,United Kingdom,United Kingdom,Sometimes
503,0,500-1000,1,1,I don't know,40,Male,Canada,Canada,Always
504,0,More than 1000,1,1,Yes,32,Female,United States of America,United States of America,Always
505,0,jun-25,1,1,Yes,26,Male,United States of America,United States of America,Never
506,0,100-500,1,1,I don't know,39,Female,United States of America,United States of America,Sometimes
507,0,500-1000,0,0,Not eligible for coverage / N/A,38,Male,United Kingdom,United Kingdom,Never
508,0,More than 1000,1,1,Yes,34,Male,United States of America,United States of America,Sometimes
509,0,26-100,0,0,I don't know,44,Male,Netherlands,Netherlands,Never
510,0,100-500,1,1,Yes,24,male,Pakistan,Pakistan,Always
511,0,jun-25,1,1,Yes,31,Male,United States of America,United States of America,Sometimes
512,0,More than 1000,1,1,Yes,47,m,United States of America,United States of America,Sometimes
513,0,More than 1000,1,1,Not eligible for coverage / N/A,30,Male,Australia,Australia,Sometimes
514,0,jun-25,1,1,Yes,29,m,United States of America,United States of America,Sometimes
515,0,More than 1000,1,1,Yes,27,Male,United States of America,United States of America,Sometimes
516,0,More than 1000,0,0,Yes,29,male,United States of America,United States of America,Never
517,0,100-500,1,1,Yes,31,f,United States of America,United States of America,Sometimes
518,0,jun-25,0,0,I don't know,27,Male,Norway,Norway,Never
519,0,jun-25,1,1,No,29,M,United Kingdom,United Kingdom,Never
520,0,jun-25,1,1,Not eligible for coverage / N/A,29,Male,United Kingdom,United Kingdom,Never
521,0,More than 1000,1,1,Yes,42,Male,United States of America,United States of America,Sometimes
522,0,jun-25,1,1,Yes,26,Female,United States of America,United States of America,Always
523,0,jun-25,1,1,I don't know,26,male,Switzerland,Switzerland,Sometimes
524,0,100-500,0,0,Yes,24,Male,United States of America,United States of America,Sometimes
525,0,More than 1000,0,0,Yes,25,male,United States of America,United States of America,Never
526,0,jun-25,1,1,Yes,22,M,United States of America,United States of America,Sometimes
527,0,100-500,1,1,Yes,33,male,United States of America,United States of America,Sometimes
528,0,26-100,1,1,Yes,53,m,United States of America,United States of America,Always
529,0,26-100,1,1,Yes,32,M,Canada,Canada,Never
530,0,jun-25,1,1,No,32,male,United States of America,United States of America,Sometimes
531,0,jun-25,1,1,I don't know,27,male,France,France,Never
532,0,jun-25,1,1,Not eligible for coverage / N/A,34,Male,United Kingdom,United Kingdom,Always
533,0,jun-25,1,1,No,26,Male,United States of America,United States of America,Sometimes
534,0,26-100,1,1,I don't know,25,m,United States of America,United States of America,Never
535,0,More than 1000,1,1,Yes,39,Male,United Kingdom,United Kingdom,Sometimes
536,0,26-100,1,1,I don't know,32,male,United States of America,United States of America,Never
537,0,500-1000,1,1,I don't know,33,f,United Kingdom,United Kingdom,Never
538,0,26-100,1,1,Yes,58,Male,United States of America,United States of America,Sometimes
539,0,jun-25,1,1,No,30,male,Canada,Canada,Never
540,0,More than 1000,0,0,I don't know,45,male,United States of America,United States of America,Sometimes
541,0,01-may,1,1,No,26,f,Canada,Canada,Sometimes
542,0,100-500,1,1,Yes,22,Male,United States of America,United States of America,Never
543,0,jun-25,1,1,I don't know,21,Male,United States of America,United States of America,Sometimes
544,0,More than 1000,1,1,Yes,3,Male,Canada,Canada,Sometimes
545,0,500-1000,0,0,I don't know,34,m,United States of America,United States of America,Sometimes
546,0,26-100,1,1,I don't know,25,female,United States of America,United States of America,Sometimes
547,0,jun-25,1,1,Yes,27,Male,United States of America,United States of America,Sometimes
548,0,26-100,1,1,Yes,25,Female ,United States of America,United States of America,Never
549,0,500-1000,1,1,Yes,33,Male,United Kingdom,United Kingdom,Sometimes
550,0,jun-25,1,1,No,36,Female,United States of America,United States of America,Always
551,0,jun-25,1,1,No,26,Male,United Kingdom,United Kingdom,Never
552,0,jun-25,1,1,Not eligible for coverage / N/A,34,Male,United States of America,United States of America,Never
553,0,26-100,1,1,Yes,34,Male,United States of America,United States of America,Sometimes
554,0,More than 1000,0,0,Yes,25,Male,United States of America,United States of America,Sometimes
555,0,26-100,1,1,No,27,f,Canada,Canada,Sometimes
556,0,26-100,1,1,I don't know,24,Female,Canada,Canada,Never
557,0,More than 1000,0,0,Yes,47,female,United States of America,United States of America,Sometimes
558,0,26-100,1,1,Yes,37,Male,United States of America,United States of America,Sometimes
559,0,More than 1000,0,0,I don't know,35,f,United States of America,United States of America,Sometimes
560,0,100-500,0,0,Yes,30,Male,United States of America,United States of America,Always
561,0,More than 1000,0,0,Yes,42,male,United States of America,United States of America,Never
562,0,100-500,1,1,Yes,31,male,United States of America,United States of America,Always
563,0,100-500,1,1,Yes,28,female,United States of America,United States of America,Always
564,0,26-100,0,0,Yes,36,Female,United States of America,United States of America,Sometimes
565,0,jun-25,1,1,Yes,36,Female,United States of America,United States of America,Never
566,0,26-100,0,0,I don't know,32,m,Canada,Canada,Sometimes
567,0,100-500,1,1,Yes,41,Female,United States of America,United States of America,Never
568,0,26-100,0,0,Yes,36,Male,Sweden,Sweden,Sometimes
569,0,26-100,1,1,Yes,23,Male,United States of America,United States of America,Sometimes
570,0,More than 1000,0,0,Yes,54,Female,United States of America,United States of America,Never
571,0,26-100,0,0,I don't know,34,female,United States of America,United States of America,Never
572,0,jun-25,1,1,I don't know,36,m,Netherlands,Netherlands,Never
573,0,01-may,1,1,Yes,27,male,United States of America,United States of America,Never
574,0,100-500,1,1,Yes,32,male,United States of America,United States of America,Always
575,0,jun-25,1,1,Yes,21,Male,Germany,Germany,Never
576,0,01-may,1,1,I don't know,44,m,United States of America,United States of America,Always
577,0,26-100,1,1,I don't know,33,m,United States of America,United States of America,Always
578,0,More than 1000,1,1,Yes,38,M,United Kingdom,United Kingdom,Sometimes
579,0,More than 1000,1,1,Yes,38,Male,Ireland,Ireland,Sometimes
580,0,01-may,1,1,I don't know,22,Female,Brazil,Brazil,Always
581,0,More than 1000,0,0,I don't know,27,f,Canada,Canada,Never
582,0,jun-25,0,0,No,66,male,United States of America,United States of America,Sometimes
583,0,01-may,0,0,I don't know,25,Male,United States of America,United States of America,Sometimes
584,0,26-100,1,1,Not eligible for coverage / N/A,22,Male,Netherlands,Netherlands,Never
585,0,26-100,1,1,No,29,male,Brazil,Brazil,Sometimes
586,0,100-500,1,1,No,33,Male,New Zealand,New Zealand,Never
587,0,jun-25,1,1,No,27,Male,Sweden,Sweden,Never
588,0,jun-25,1,1,I don't know,44,male,United States of America,United States of America,Sometimes
589,0,jun-25,,0,I don't know,32,M,United States of America,United States of America,Always
590,0,500-1000,,0,Yes,59,female,United States of America,United States of America,Never
591,0,More than 1000,1,1,Yes,32,Male,United States of America,United States of America,Always
592,0,More than 1000,0,0,Not eligible for coverage / N/A,41,male,United Kingdom,United Kingdom,Never
593,0,01-may,1,1,No,38,f,United States of America,United States of America,Always
594,0,More than 1000,0,0,No,43,Male,United Kingdom,United Kingdom,Never
595,0,100-500,1,1,Yes,29,Female,United States of America,United States of America,Always
596,0,100-500,1,1,I don't know,25,female ,United States of America,United States of America,Never
597,0,26-100,1,1,Yes,49,Male,Afghanistan,Afghanistan,Never
598,0,26-100,1,1,No,36,Male,Pakistan,United States of America,Always
599,0,26-100,1,1,I don't know,28,Male,United States of America,United States of America,Sometimes
600,0,More than 1000,,0,I don't know,37,m,United States of America,United States of America,Sometimes
601,0,jun-25,,0,Not eligible for coverage / N/A,23,female,United States of America,United States of America,Sometimes
602,0,More than 1000,,0,Yes,32,male,United States of America,United States of America,Never
603,0,01-may,1,1,No,28,Male,Canada,Canada,Always
604,0,More than 1000,0,0,I don't know,28,M,United Kingdom,United Kingdom,Never
605,0,More than 1000,1,1,Yes,29,Male,United States of America,United States of America,Never
606,0,100-500,1,1,I don't know,35,Male,United States of America,United States of America,Always
607,0,500-1000,1,1,Not eligible for coverage / N/A,35,Male,Sweden,Sweden,Always
608,0,More than 1000,0,0,Yes,31,Male,United Kingdom,United Kingdom,Sometimes
609,0,More than 1000,1,1,Yes,37,m,Canada,Canada,Always
610,0,jun-25,1,1,I don't know,34,Female,United States of America,United States of America,Sometimes
611,0,26-100,1,1,Yes,39,f,United States of America,United States of America,Sometimes
612,0,100-500,1,1,Yes,29,female,United States of America,United States of America,Always
613,0,More than 1000,1,1,Yes,63,Male,United States of America,United States of America,Sometimes
614,0,More than 1000,0,0,No,28,f,United Kingdom,United Kingdom,Never
615,0,jun-25,1,1,No,19,Male,India,India,Always
616,0,More than 1000,1,1,Yes,40,Male,United States of America,United States of America,Always
617,0,More than 1000,0,0,Yes,49,F,United States of America,United States of America,Sometimes
618,0,jun-25,1,1,Not eligible for coverage / N/A,27,Female,Australia,Australia,Sometimes
619,0,More than 1000,0,0,Yes,39,male,United States of America,United States of America,Never
620,0,More than 1000,0,0,I don't know,35,Male,United Kingdom,United Kingdom,Never
621,0,26-100,1,1,I don't know,35,M,United States of America,United States of America,Sometimes
622,0,26-100,1,1,Yes,42,female,United States of America,United States of America,Sometimes
623,0,jun-25,1,1,Yes,35,Male,Canada,Canada,Sometimes
624,0,100-500,1,1,I don't know,31,female,United States of America,United States of America,Sometimes
625,0,100-500,1,1,Yes,39,Male,United States of America,United States of America,Sometimes
626,0,More than 1000,1,1,I don't know,45,m,New Zealand,New Zealand,Sometimes
627,0,26-100,1,1,No,29,M,United States of America,United States of America,Sometimes
628,0,jun-25,1,1,Yes,20,Male,United States of America,United States of America,Always
629,0,100-500,1,1,Not eligible for coverage / N/A,34,m,United States of America,United States of America,Never
630,0,500-1000,1,1,Not eligible for coverage / N/A,33,m,United Kingdom,United Kingdom,Never
631,0,100-500,1,1,Yes,31,m,United States of America,United States of America,Sometimes
632,0,More than 1000,1,1,Yes,36,Male,United States of America,United States of America,Sometimes
633,0,100-500,1,1,Yes,30,Male,United States of America,United States of America,Always
634,0,More than 1000,0,0,Yes,44,F,United States of America,United States of America,Never
635,0,01-may,1,1,I don't know,23,Female,United States of America,United States of America,Sometimes
636,0,More than 1000,0,0,Yes,46,Male,United States of America,United States of America,Never
637,0,100-500,1,1,Yes,33,female,United States of America,United States of America,Always
638,0,500-1000,0,0,Yes,32,female,United States of America,United States of America,Never
639,0,jun-25,1,1,No,26,male,United States of America,United States of America,Sometimes
640,0,More than 1000,1,1,I don't know,28,m,United States of America,United States of America,Sometimes
641,0,More than 1000,1,1,Yes,30,Male,United States of America,United States of America,Sometimes
642,0,jun-25,1,1,I don't know,28,F,United States of America,United States of America,Sometimes
643,0,100-500,1,1,Yes,31,M,Canada,Canada,Always
644,0,100-500,1,1,Yes,29,male,United States of America,United States of America,Sometimes
645,0,26-100,1,1,I don't know,33,Male,United States of America,United States of America,Sometimes
646,0,More than 1000,1,1,Yes,43,female,United States of America,United States of America,Always
647,0,100-500,1,1,I don't know,28,Male,Australia,Australia,Always
648,0,100-500,1,1,Yes,38,Male,United States of America,United States of America,Always
649,0,jun-25,0,0,Yes,30,Male,United States of America,United States of America,Sometimes
650,0,26-100,1,1,I don't know,48,F,United States of America,United States of America,Never
651,0,jun-25,1,1,No,28,Male,Australia,Australia,Sometimes
652,0,100-500,1,1,Yes,37,Male,United States of America,United States of America,Always
653,0,More than 1000,1,1,Yes,33,Male,United States of America,United States of America,Sometimes
654,0,jun-25,1,1,Not eligible for coverage / N/A,21,Male,Australia,Australia,Never
655,0,26-100,,0,Yes,25,male,United States of America,United States of America,Sometimes
656,0,100-500,1,1,Yes,40,Male,United States of America,United States of America,Always
657,0,100-500,0,0,No,30,Female,Canada,Canada,Sometimes
658,0,01-may,1,1,No,25,male,India,India,Never
659,0,More than 1000,1,1,Yes,38,Male,Germany,Germany,Sometimes
660,0,100-500,0,0,I don't know,24,Male,United Kingdom,United Kingdom,Never
661,0,jun-25,1,1,Not eligible for coverage / N/A,23,Male,United Kingdom,United Kingdom,Never
662,0,jun-25,1,1,I don't know,26,male,United States of America,United States of America,Sometimes
663,0,More than 1000,0,0,I don't know,43,Male,United Kingdom,United Kingdom,Never
664,0,jun-25,1,1,I don't know,30,Male,New Zealand,New Zealand,Always
665,0,26-100,0,0,I don't know,40,M,United Kingdom,United Kingdom,Sometimes
666,0,26-100,0,0,Yes,33,Female,United Kingdom,United Kingdom,Never
667,0,jun-25,1,1,No,22,Male,United Kingdom,United Kingdom,Never
668,0,100-500,1,1,Yes,28,Male,United States of America,United States of America,Always
669,0,More than 1000,1,1,Yes,39,M,United States of America,United States of America,Sometimes
670,0,100-500,1,1,I don't know,33,M,United States of America,United States of America,Always
671,0,jun-25,1,1,I don't know,37,Male,United States of America,United States of America,Sometimes
672,0,500-1000,1,1,I don't know,41,f,France,France,Never
673,0,More than 1000,1,1,Yes,30,Female,United States of America,United States of America,Sometimes
674,0,More than 1000,1,1,Yes,42,Male,United States of America,United States of America,Sometimes
675,0,jun-25,1,1,Yes,52,Male,United States of America,United States of America,Sometimes
676,0,26-100,1,1,No,30,male,Romania,United States of America,Always
677,0,500-1000,1,1,Yes,35,Male,United States of America,United States of America,Sometimes
678,0,26-100,1,1,I don't know,24,Male,United States of America,United States of America,Sometimes
679,0,jun-25,1,1,I don't know,39,Male,United States of America,United States of America,Sometimes
680,0,jun-25,1,1,Yes,34,Male,United States of America,United States of America,Sometimes
681,0,26-100,0,0,No,43,Male,Poland,Poland,Never
682,0,jun-25,1,1,Yes,39,male,United States of America,United States of America,Sometimes
683,0,26-100,1,1,Yes,34,Male,United States of America,United States of America,Sometimes
684,0,More than 1000,0,0,Yes,38,Male,United Kingdom,United Kingdom,Sometimes
685,0,100-500,1,1,Yes,26,f,United States of America,United States of America,Always
686,0,jun-25,1,1,No,24,male,Bulgaria,Bulgaria,Sometimes
687,0,More than 1000,0,0,I don't know,27,Female,United States of America,United States of America,Sometimes
688,0,jun-25,1,1,Yes,25,male,United States of America,United States of America,Never
689,0,More than 1000,0,0,Yes,33,Male,Canada,Canada,Sometimes
690,0,26-100,0,0,No,34,Male,United States of America,United States of America,Sometimes
691,0,26-100,1,1,I don't know,27,Male,Canada,Canada,Sometimes
692,0,100-500,1,1,Yes,33,Male,United States of America,United States of America,Sometimes
693,0,jun-25,1,1,Yes,50,m,United States of America,United States of America,Sometimes
694,0,More than 1000,1,1,Yes,32,female ,Canada,Canada,Sometimes
695,0,jun-25,1,1,I don't know,39,m,Canada,Canada,Sometimes
696,0,jun-25,1,1,I don't know,36,Male,United States of America,United States of America,Sometimes
697,0,100-500,1,1,I don't know,34,Male,Canada,Canada,Sometimes
698,0,100-500,1,1,I don't know,31,female,United States of America,United States of America,Sometimes
699,0,More than 1000,0,0,No,36,male,United States of America,United States of America,Never
700,0,More than 1000,0,0,I don't know,48,Male,United States of America,United States of America,Sometimes
701,0,jun-25,1,1,I don't know,31,male,United States of America,United States of America,Never
702,0,01-may,1,1,No,32,M,United States of America,United States of America,Always
703,0,100-500,1,1,I don't know,32,M,United States of America,United States of America,Always
704,0,01-may,1,1,Not eligible for coverage / N/A,28,Female,United States of America,United States of America,Sometimes
705,0,More than 1000,0,0,I don't know,28,male,United Kingdom,United Kingdom,Never
706,0,26-100,1,1,Yes,33,F,United States of America,United States of America,Sometimes
707,0,100-500,1,1,I don't know,37,Male,United States of America,United States of America,Always
708,0,jun-25,1,1,I don't know,27,female,Germany,Germany,Always
709,0,More than 1000,1,1,No,39,Male,United States of America,United States of America,Always
710,0,More than 1000,0,0,Yes,34,Female,United States of America,United States of America,Never
711,0,jun-25,1,1,Not eligible for coverage / N/A,31,Female,Other,Other,Always
712,0,More than 1000,0,0,Yes,39,male,United States of America,United States of America,Sometimes
713,0,26-100,1,1,I don't know,46,Male,United States of America,United States of America,Sometimes
714,0,More than 1000,1,1,I don't know,28,M,United States of America,United States of America,Sometimes
715,0,26-100,1,1,I don't know,32,male,France,France,Sometimes
716,0,26-100,0,0,I don't know,51,male,United States of America,United States of America,Sometimes
717,0,500-1000,0,0,I don't know,29,Male,United States of America,United States of America,Sometimes
718,0,01-may,1,1,No,32,Male,Iran,Iran,Sometimes
719,0,More than 1000,0,0,Not eligible for coverage / N/A,52,m,Switzerland,Switzerland,Never
720,0,More than 1000,0,,Yes,35,Male,United States of America,United States of America,Never
721,0,26-100,1,1,No,38,male,Ireland,Ireland,Sometimes
722,0,jun-25,0,,I don't know,27,Male,United States of America,United States of America,Never
723,0,jun-25,1,1,I don't know,40,Female,United States of America,United States of America,Always
724,0,500-1000,0,,Not eligible for coverage / N/A,32,Male,South Africa,South Africa,Never
725,0,100-500,0,,Yes,28,female,Germany,Germany,Never
726,0,More than 1000,0,,No,42,male,United States of America,United States of America,Sometimes
727,0,01-may,1,1,No,31,Male,United States of America,United States of America,Sometimes
728,0,jun-25,1,1,No,35,M,Canada,Canada,Never
729,0,26-100,1,1,Not eligible for coverage / N/A,35,Male,Australia,Australia,Sometimes
730,0,26-100,1,1,Yes,24,Male,United States of America,United States of America,Never
731,0,jun-25,1,1,No,23,male,India,India,Sometimes
732,0,jun-25,1,1,No,38,Male,France,France,Always
733,0,26-100,1,1,I don't know,33,M,France,France,Sometimes
734,0,26-100,1,1,I don't know,35,Male,United Kingdom,United Kingdom,Sometimes
735,0,100-500,1,1,I don't know,30,female,Germany,Germany,Never
736,0,500-1000,1,1,I don't know,28,male,United States of America,United States of America,Sometimes
737,0,jun-25,1,1,No,39,m,Germany,Germany,Sometimes
738,0,01-may,1,1,No,21,m,United States of America,United States of America,Always
739,0,jun-25,1,1,Yes,31,male,Germany,Germany,Sometimes
740,0,More than 1000,1,1,I don't know,30,male,United States of America,United States of America,Sometimes
741,0,26-100,1,1,Yes,25,Female,United States of America,United States of America,Sometimes
742,0,jun-25,1,1,Not eligible for coverage / N/A,26,Male,United Kingdom,United Kingdom,Always
743,0,26-100,1,1,Yes,30,male,United States of America,United States of America,Never
744,0,500-1000,1,1,No,30,M,Italy,Italy,Never
745,0,100-500,1,1,I don't know,31,Male,Bulgaria,Bulgaria,Always
746,0,100-500,1,1,I don't know,32,M,United States of America,United States of America,Never
747,0,26-100,0,,No,45,female,United Kingdom,United Kingdom,Always
748,0,26-100,1,1,Yes,27,Male,United States of America,United States of America,Always
749,0,26-100,1,1,Not eligible for coverage / N/A,28,Female,United Kingdom,United Kingdom,Always
750,0,500-1000,1,1,Yes,38,m,United States of America,United States of America,Always
751,0,500-1000,0,,Yes,38,male,United States of America,United States of America,Sometimes
752,0,More than 1000,1,1,I don't know,34,Male,Hungary,Hungary,Sometimes
753,0,jun-25,1,1,I don't know,23,male,France,France,Sometimes
754,0,100-500,0,,Yes,40,Female,United States of America,United States of America,Sometimes
755,0,26-100,1,1,I don't know,28,Male,United States of America,United States of America,Never
756,0,jun-25,1,1,I don't know,33,male,United States of America,United States of America,Sometimes
757,0,More than 1000,0,,Yes,32,Male,United States of America,United States of America,Never
758,0,More than 1000,1,1,Yes,27,M,United States of America,United States of America,Never
759,0,100-500,1,1,No,33,Male,Israel,Israel,Never
760,0,100-500,0,,I don't know,34,Male,Japan,Japan,Never
761,0,More than 1000,0,,Yes,35,M,United States of America,United States of America,Never
